0.33,20 min
0.5,45 min
0.25,15 min
0.4,20 min
0.5,20 min
1.74,1.5 hours
2.3,2.25 hours
3,2.5 hours
0.25,20 mins.
0.5,30 min
2,2 hours
0.5,30 min
0.9,45 min
1.3,1 hour
0.6,45 min
1.9,2 hours
1.5,1 hour
4.5,3.5 hours
0.6,30 min
5,1.5 hours
10,
0.5,45 min
3.55,3 hours
2.5,1.5 hours
0.55,45 min
1.3,2 hours
1.21,1 hour
0.56,45 min
1.4,1 hour
6.47,7 hours
1,1 hour
1.4,2 hours
1.8,3 hours
2.4,4 hours
2.3,4 hours
1.2,2 hours
1.2,2 hours
0.8,1 hour
0.5,15 min
