Saudi Arabia,108
Qatar,103
Egypt,93
Bangladesh,84
Kuwait,75
Cameroon,65
Mauritania,65
Nepal,64
United Arab Emirates,64
India,62
Libya,61
Bahrain,60
Pakistan,60
Niger,59
Uganda,57
China,54
Myanmar,51
Iraq,50
Bhutan,48
Oman,48
Afghanistan,46
Sudan,44
Rwanda,43
Yemen,43
Bosnia and Herzegovina,42
Iran,42
Tajikistan,41
Congo,40
Central African Republic,39
Chad,39
Djibouti,39
Gambia,39
Nigeria,39
Burundi,38
Democratic Republic,38
of the Congo,
Burkina Faso,37
Macedonia,37
Cabo Verde,36
Jordan,36
Tunisia,36
El Salvador,35
Eritrea,35
Honduras,35
Senegal,34
Syrian Arab Republic,34
Turkey,34
Equatorial Guinea,33
Guatemala,32
Uzbekistan,32
Benin,31
Ethiopia,30
Gabon,30
Lebanon,30
Mali,29
Nicaragua,29
South Sudan,29
Togo,28
Algeria,27
Angola,27
Bolivia,27
Bulgaria,27
Democratic People’s,27
Republic of Korea,
Guinea-Bissau,27
Laos,27
Republic of Korea,27
South Africa,27
Sri Lanka,27
Thailand,27
Peru,26
Viet Nam,26
Turkmenistan,25
Azerbaijan,24
Ghana,24
Poland,24
Cambodia,23
Zambia,23
Belize,22
Côte d’Ivoire,22
Haiti,22
Malawi,22
Montenegro,22
Philippines,22
United Republic,22
of Tanzania,
Venezuela,22
Armenia,21
Guinea,21
Hungary,21
Chile,20
Czech Republic,20
Mexico,20
Mongolia,20
Morocco,20
Zimbabwe,20
Croatia,19
Georgia,19
Israel,19
Latvia,19
Romania,19
Serbia,19
Slovakia,19
Costa Rica,18
Lesotho,18
Lithuania,18
Namibia,18
Slovenia,18
Swaziland,18
Belarus,17
Colombia,17
Cuba,17
Cyprus,17
Italy,17
Madagascar,17
Mozambique,17
Republic of Moldova,17
Sierra Leone,17
Singapore,17
Albania,16
Austria,16
Botswana,16
Comoros,16
Dominican Republic,16
Jamaica,16
Kenya,16
Luxembourg,16
Maldives,16
Somalia,16
Suriname,16
Ukraine,16
Belgium,15
Guyana,15
Kazakhstan,15
Kyrgyzstan,15
Malaysia,15
Netherlands,15
Paraguay,15
Russian Federation,15
Saint Lucia,15
Timor-Leste,15
Barbados,14
Germany,14
Grenada,14
Indonesia,14
Malta,14
Mauritius,14
Antigua and Barbuda,13
Argentina,13
Bahamas,13
Dominica,13
Ecuador,13
Japan,13
Saint Vincent,13
Sao Tome and Principe,13
Seychelles,13
Trinidad and Tobago,13
France,12
Greece,12
Panama,12
Switzerland,12
United Kingdom,12
Uruguay,11
Andorra,10
Brazil,10
Denmark,10
Papua New Guinea,10
Ireland,9
Monaco,9
Norway,9
Portugal,9
Spain,9
Estonia,8
Iceland,8
Liberia,8
United States of America,8
Canada,7
Finland,7
Australia,6
Fiji,6
Micronesia,6
Sweden,6
Vanuatu,6
Brunei Darussalam,5
Kiribati,5
New Zealand,5
Solomon Islands,5
