 Senegal,"3,000,000,000","14,320,055"
 Kosovo,"2,887,000,000","1,883,018"
 Montenegro,"2,800,000,000","644,578"
 Jamaica,"2,800,000,000","2,970,340"
 Uganda,"2,700,000,000","38,319,241"
 Mauritius,"2,600,000,000","1,348,242"
 Gabon,"2,100,000,000","1,738,541"
 Bhutan,"2,085,000,000","750,125"
 New Caledonia,"2,000,000,000","275,355"
 Malta,"2,000,000,000","415,196"
 Suriname,"1,900,000,000","585,824"
 Malawi,"1,900,000,000","18,570,321"
 Bahamas,"1,600,000,000","327,316"
 Guam,"1,500,000,000","162,742"
 Swaziland,"1,500,000,000","1,451,428"
 Mali,"1,400,000,000","17,467,108"
 Liechtenstein,"1,360,000,000","37,937"
 Madagascar,"1,300,000,000","24,430,325"
 Burkina Faso,"1,200,000,000","19,512,533"
 Niger,"1,200,000,000","18,638,600"
 Togo,"1,100,000,000","7,756,937"
 Benin,"1,000,000,000","10,741,458"
 Curacao,"968,000,000","149,035"
" Congo, Republic of the","900,000,000","4,852,412"
 Guinea,"900,000,000","12,093,349"
 Barbados,"900,000,000","291,495"
 Mauritania,"800,000,000","3,677,293"
 Lesotho,"800,000,000","1,953,070"
 Guyana,"800,000,000","735,909"
 Fiji,"800,000,000","915,303"
 Aruba,"800,000,000","113,648"
 French Polynesia,"700,000,000","285,321"
 South Sudan,"694,100,000","12,530,717"
 Jersey,"630,100,000","98,069"
 Bermuda,"600,000,000","70,537"
 Cayman Islands,"600,000,000","57,268"
 U.S. Virgin Islands,"600,000,000","102,951"
 Marshall Islands,"600,000,000","73,376"
 Andorra,"562,400,000","85,660"
 Burundi,"400,000,000","11,099,298"
 Belize,"400,000,000","353,858"
 Djibouti,"400,000,000","846,687"
 Haiti,"400,000,000","10,485,800"
 Seychelles,"300,000,000","93,186"
 Somalia,"300,000,000","10,817,354"
 Saint Lucia,"300,000,000","164,464"
 Antigua and Barbuda,"300,000,000","93,581"
 Cabo Verde,"300,000,000","553,432"
 Eritrea,"300,000,000","5,869,869"
 Faroe Islands,"300,000,000","50,456"
 Gambia,"300,000,000","2,009,648"
 Greenland,"300,000,000","57,728"
 Liberia,"300,000,000","4,299,944"
 Maldives,"300,000,000","392,960"
 Northern Mariana Islands,"224,002,000","53,467"
 Chad,"200,000,000","11,852,462"
 Saint Kitts and Nevis,"200,000,000","52,329"
 Central African Republic,"200,000,000","5,507,257"
 Sierra Leone,"200,000,000","6,018,888"
 Turks and Caicos Islands,"200,000,000","51,430"
 Gibraltar,"200,000,000","29,328"
 Grenada,"200,000,000","111,219"
" Micronesia, Federated States of","178,600,000","104,719"
 Timor-Leste,"125,300,000","1,261,072"
 British Virgin Islands,"100,000,000","34,232"
 Saint Vincent and the Grenadines,"100,000,000","102,350"
 American Samoa,"100,000,000","54,194"
 Samoa,"100,000,000","198,926"
 Equatorial Guinea,"91,140,000","759,451"
 Dominica,"90,210,000","73,757"
 Solomon Islands,"79,050,000","635,027"
 Sao Tome and Principe,"65,100,000","197,541"
 Vanuatu,"55,800,000","277,554"
 Tonga,"46,500,000","106,513"
 Saint Pierre and Miquelon,"41,850,000","5,595"
 Comoros,"40,920,000","794,678"
 Guinea-Bissau,"31,620,000","1,759,159"
 Cook Islands,"31,620,000","9,556"
 Kiribati,"27,900,000","106,925"
 Nauru,"23,250,000","9,591"
 Montserrat,"21,390,000","5,267"
 Falkland Islands,"13,950,000","2,931"
" Saint Helena, Ascension and Tristan da Cunha","9,300,000","7,795"
 Niue,"3,720,000","1,190"
